bird,trk,site,cell,pd.sum,species,test.dir1,dir1.area,test.dir2,dir2.area,pref.speed,sp80.1,sp80.2,sp80.3,sp80.4,sp80.5,sp80.6,sp80.7,sp80.8,sp80.9,sp80.10,sp80.11,sp80.12,tune50,tune55,tune60,tune65,tune70,tune75,tune80,tune85,tune90,tune95
198,3,2990,3,7.095660218,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,5,3345,1,69.29038063,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,5,3345,2,146.9527505,2,135,-2.813561748,315,-12.73565831,64.02,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
198,5,3345,3,140.7921822,2,135,-22.7133177,315,-37.87051015,0.24,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
199,1,2383,1,92.38097387,2,90,1.674913293,270,-59.31209592,0.48,0,1,0,0,0,0,0,0,0,0,0,0,5,4,3,2,2,1,1,1,1,1
199,1,2383,2,66.71614439,2,90,1.792060803,270,-28.82291072,1.98,0,0,0,1,0,0,0,0,0,0,1,0,3,3,2,2,2,2,2,2,2,2
199,1,2383,3,118.6125846,2,90,9.539454882,270,-43.79792548,64.02,0,0,0,0,0,0,0,0,0,0,1,0,4,3,3,1,1,1,1,1,1,1
199,1,2383,4,69.34949894,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,1,2468,1,119.4233427,2,135,32.91956516,315,-38.91249158,79.86,0,0,0,0,0,0,0,1,1,1,1,1,6,6,6,5,5,5,5,2,2,1
199,1,2468,2,118.2224734,2,135,17.84569118,315,-62.24588911,79.86,0,0,0,0,0,0,1,1,1,1,0,1,7,7,7,6,6,6,5,4,1,1
199,1,2468,3,127.0419675,2,135,11.28396696,315,-13.79676206,32.03,0,0,0,0,0,0,0,0,1,0,1,0,4,4,4,2,2,2,2,2,2,2
199,1,2468,4,78.27869521,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,1,2468,5,151.1464714,2,135,19.2916127,315,-42.68681407,16.03,0,0,0,0,0,0,1,0,1,0,0,0,6,5,4,4,4,2,2,2,2,2
199,1,2711,1,100.9786653,2,135,7.319832638,315,-46.01473325,24,0,0,0,0,0,0,0,1,0,1,1,1,6,6,6,6,5,5,4,3,2,2
199,1,2711,2,122.4881005,2,135,0.718270924,315,-31.85377027,7.98,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1
199,1,2711,3,124.1787553,2,135,16.7425784,315,-15.46897427,24,0,0,0,0,0,0,0,1,0,1,0,0,5,5,5,4,4,2,2,1,1,1
199,3,2806,1,293.1520127,2,315,3.646100017,135,-2.031005918,1.98,0,0,0,1,0,0,1,0,1,0,0,0,3,3,3,3,3,3,3,3,3,3
199,3,2806,2,10.306157,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,3,2806,3,310.0426698,2,315,31.34565233,135,19.35859814,79.86,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,4,3,2,1,1,1,1
199,3,2806,4,322.7432757,2,315,5.028587506,135,-5.789250375,16.03,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,1,1,1,1,1,1,1
199,3,2889,2,257.4378236,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,3,2889,3,257.2696628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,3,2889,5,264.3357838,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,1,2586,1,89.29308944,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
