trial,direction,speed,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20
38,NaN,NaN,0,4.0001,0,0,4.0001,0,4.0001,0,4.0001,4.0001,0,4.0001,0,0,0,0,0,0,4.0001,0
39,315,0.21431389742439963,0,0,4.0001,0,4.0001,4.0001,4.0001,0,0,0,4.0001,0,0,0,4.0001,4.0001,0,0,0,0
40,NaN,NaN,0,0,0,0,0,4.0001,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0
41,135,0.21431389742439963,0,0,0,0,0,0,0,0,4.0001,0,8.0002,0,0,4.0001,0,0,0,0,4.0001,4.0001
42,NaN,NaN,0,4.0001,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,12,0,0,0,12
43,135,-0.6955094722265123,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
44,NaN,NaN,0,0,0,4.0002,0,0,0,0,0,4.0002,4.0002,0,0,0,0,0,0,0,0,0
45,135,1.3044905277734875,40.001,28,32,16,36.001,12,32,24,12,16,12,12,12,16,16,4.0001,4.0001,8.0001,8.0001,8.0001
46,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,315,1.1256764103823331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,315,0.8205298485235197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,315,1.7729301728808387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0
53,135,1.6254153521544081,32.001,28.001,24.001,36.001,16,12,16,20.001,4.0001,24.001,12,12,8.0002,8.0002,12,8.0002,4.0001,16,8.0002,8.0002
54,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,315,-0.4013189010928366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,135,1.4348242962684938,20,28,24,36,4,28,12,4,8.0001,20,8.0001,16,8.0001,8.0001,4,12,4,8.0001,4,0
58,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0
59,315,1.6254153521544081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0001
60,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0
61,135,0.8205298485235197,4.0001,0,0,0,12,4.0001,0,0,8.0002,0,0,0,0,0,0,0,4.0001,0,4.0001,0
62,NaN,NaN,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,135,-0.6955094722265123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,315,0.21431389742439963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001,0
67,315,0.5236164190543707,0,0,4.0001,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0001
69,315,1.3044905277734875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,NaN,NaN,0,0,4.0001,4.0001,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0
71,315,-0.6955094722265123,0,0,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0
72,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,135,-0.4013189010928366,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0
74,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,315,1.4348242962684938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,NaN,NaN,4.0001,8.0001,0,4.0001,0,0,0,4.0001,0,4.0001,0,0,0,0,4.0001,0,0,4.0001,0,0
77,135,-0.08671609823958155,0,0,4,8.0001,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
78,NaN,NaN,8.0001,8.0001,0,0,4.0001,4.0001,4.0001,4.0001,8.0001,4.0001,8.0001,8.0001,8.0001,0,0,0,0,0,4.0001,0
79,135,1.7729301728808387,36.002,48.002,36.002,28.001,36.002,12.001,12.001,16.001,20.001,16.001,20.001,12.001,0,12.001,16.001,4.0002,16.001,8.0004,8.0004,4.0002
80,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,135,1.8997110945711444,24.001,28.001,16,16,16,12,8.0002,16,4.0001,16,4.0001,4.0001,8.0002,4.0001,8.0002,4.0001,4.0001,8.0002,4.0001,0
82,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
83,135,1.3044905277734875,12,8.0003,16.001,20.001,4.0001,16.001,12,8.0003,4.0001,16.001,0,4.0001,8.0003,0,0,4.0001,12,8.0003,4.0001,20.001
84,NaN,NaN,4.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,315,-0.08671609823958155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0
86,NaN,NaN,0,4.0001,0,4.0001,0,0,0,4.0001,0,0,4.0001,0,0,0,0,0,0,0,0,0
87,135,1.1256764103823331,16,28.001,20,12,12,16,8.0001,8.0001,16,8.0001,16,8.0001,0,4.0001,16,4.0001,0,0,4.0001,4.0001
88,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,315,1.8997110945711444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,NaN,NaN,0,4.0001,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0
91,135,0.21431389742439963,0,0,4.0001,0,4.0001,0,4.0001,0,0,4.0001,0,0,0,0,0,0,0,0,0,4.0001
92,NaN,NaN,0,0,0,0,0,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0,0
93,135,0.5236164190543707,0,0,4.0001,0,0,4.0001,0,0,0,0,0,4.0001,0,0,4.0001,0,0,0,0,0
94,NaN,NaN,0,0,0,0,4.0001,0,0,0,4.0001,4.0001,0,0,0,0,0,0,4.0001,0,0,0
95,315,1.1256764103823331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,NaN,NaN,0,4.0001,0,0,0,0,0,0,0,0,0,0,0,4.0001,4.0001,4.0001,0,0,0,0
97,315,1.8997110945711444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
