time,stim,spike
30.873,0,0.00568
30.874,0,0.00131
30.875,0,0.00513
30.876,0,0.00308
30.877,0,0.00418
30.878,0,0.00351
30.879,0,0.00293
30.88,0,0.0033
30.881,0,0.00378
30.882,0,0.00977
30.883,0,0.00351
30.884,0,0.00241
30.885,0,0.00247
30.886,0,0.00122
30.887,0,0.0036
30.888,0,0.00446
30.889,0,0.00504
30.89,0,0.00986
30.891,0,-5.2e-4
30.892,0,0.00183
30.893,0,0.00159
30.894,0,0.00528
30.895,0,7.3e-4
30.896,0,0.00232
30.897,0,0.00137
30.898,0,0.00409
30.899,0,0.00247
30.9,0,0.00266
30.901,0,0.00702
30.902,0,0.00513
30.903,0,4e-4
30.904,0,0.00125
30.905,0,0.00806
30.906,0,0.00156
30.907,0,-0.00305
30.908,0,0.00531
30.909,0,0.00504
30.91,0,0.01254
30.911,0,0.00534
30.912,0,9.8e-4
30.913,0,0.00244
30.914,0,1.2e-4
30.915,0,0.00601
30.916,0,0.00455
30.917,0,0.005
30.918,0,0.009
30.919,0,0.005
30.92,0,0.00513
30.921,0,-0.00101
30.922,0,0.00174
30.923,0,0.00604
30.924,0,0.0025
30.925,0,0.00287
30.926,0,0.00461
30.927,0,0.00238
30.928,0,0.00357
30.929,0,0.00165
30.93,0,0.00217
30.931,0,0.00543
30.932,0,0.00302
30.933,0,9e-5
30.934,0,-0.00278
30.935,0,-4.3e-4
30.936,0,0.0025
30.937,0,4e-4
30.938,0,0.00812
30.939,0,0.0029
30.94,0,0.00177
30.941,0,0.00351
30.942,0,1.8e-4
30.943,0,0.00342
30.944,0,0.00189
30.945,0,0.00266
30.946,0,0.00345
30.947,0,0.00201
30.948,0,0.00482
30.949,0,0.00439
30.95,0,0.00427
30.951,0,0.0037200000000000002
30.952,0,4.3e-4
30.953,0,-2.1e-4
30.954,0,0.00479
30.955,0,0.00201
30.956,0,-4.6e-4
30.957,0,0.00201
30.958,1,0.00751
30.959,0,0.00269
30.96,0,6.4e-4
30.961,0,0.00131
30.962,0,0.00821
30.963,0,0.00327
30.964,0,0
30.965,0,0.00638
30.966,0,0.00769
30.967,0,0.00369
30.968,0,0.00528
30.969,0,6e-5
30.97,0,0.00168
30.971,0,0.00476
30.972,0,0.00577
30.973,0,0.00412
30.974,0,-0.00168
30.975,0,0.00571
30.976,0,-0.00101
30.977,0,0.00479
30.978,0,0.0076
30.979,0,0.00607
30.98,0,-6.1e-4
30.981,0,0.00323
30.982,0,0.00671
30.983,0,0.00299
